        6524	IH
40.386993      22.450584      48.906467
41.850200      20.436654      50.343697
40.386993      18.422723      48.906467
41.850200      16.408792      50.343697
37.460581      30.506307      46.032007
38.923787      28.492376      47.469237
37.460581      26.478446      46.032007
38.923787      24.464515      47.469237
37.460581      22.450584      46.032007
38.923787      20.436654      47.469237
35.997375      32.520238      44.594778
34.534168      30.506307      43.157548
35.997375      28.492376      44.594778
34.534168      26.478446      43.157548
35.997375      24.464515      44.594778
33.070962      28.492376      41.720318
49.166231      14.394862      51.780927
50.629437      12.380931      53.218157
46.239818      18.422723      48.906467
47.703025      16.408792      50.343697
43.313406      22.450584      46.032007
44.776612      20.436654      47.469237
40.386993      26.478446      43.157548
41.850200      24.464515      44.594778
37.460581      30.506307      40.283088
38.923787      28.492376      41.720318
35.997375      32.520238      38.845858
33.070962      32.520238      64.715996
31.607756      30.506307      66.153226
29.240238      31.275560      64.715996
30.703445      33.289491      63.278766
28.335927      34.058744      61.841536
26.872721      32.044813      63.278766
24.505203      32.814066      61.841536
25.968410      34.827997      60.404306
23.600892      35.597250      58.967076
22.137686      33.583319      60.404306
19.770168      34.352572      58.967076
21.233375      36.366503      57.529847
18.865857      37.135756      56.092617
17.402651      35.121825      57.529847
15.035133      35.891078      56.092617
16.498340      37.905009      54.655387
14.130822      38.674262      53.218157
12.667616      36.660331      54.655387
10.300099      37.429585      53.218157
11.763305      39.443515      51.780927
30.144550      28.492376      61.841536
28.681343      26.478446      63.278766
26.313826      27.247699      61.841536
33.070962      32.520238      58.967076
31.607756      30.506307      60.404306
29.240238      31.275560      58.967076
27.777032      29.261629      60.404306
25.409515      30.030882      58.967076
23.946308      28.016952      60.404306
21.578791      28.786205      58.967076
30.703445      33.289491      57.529847
28.335927      34.058744      56.092617
26.872721      32.044813      57.529847
24.505203      32.814066      56.092617
23.041997      30.800136      57.529847
20.674480      31.569389      56.092617
19.211273      29.555458      57.529847
16.843756      30.324711      56.092617
25.968410      34.827997      54.655387
23.600892      35.597250      53.218157
22.137686      33.583319      54.655387
19.770168      34.352572      53.218157
18.306962      32.338642      54.655387
15.939445      33.107895      53.218157
14.476238      31.093964      54.655387
12.108721      31.863217      53.218157
21.233375      36.366503      51.780927
18.865857      37.135756      50.343697
17.402651      35.121825      51.780927
15.035133      35.891078      50.343697
13.571927      33.877148      51.780927
16.498340      37.905009      48.906467
27.218137      24.464515      58.967076
25.754931      22.450584      60.404306
23.387413      23.219837      58.967076
30.144550      28.492376      56.092617
28.681343      26.478446      57.529847
26.313826      27.247699      56.092617
24.850620      25.233768      57.529847
22.483102      26.003021      56.092617
21.019896      23.989091      57.529847
18.652378      24.758344      56.092617
33.070962      32.520238      53.218157
31.607756      30.506307      54.655387
29.240238      31.275560      53.218157
27.777032      29.261629      54.655387
25.409515      30.030882      53.218157
23.946308      28.016952      54.655387
21.578791      28.786205      53.218157
20.115585      26.772274      54.655387
17.748067      27.541527      53.218157
16.284861      25.527597      54.655387
13.917343      26.296850      53.218157
30.703445      33.289491      51.780927
28.335927      34.058744      50.343697
26.872721      32.044813      51.780927
24.505203      32.814066      50.343697
23.041997      30.800136      51.780927
20.674480      31.569389      50.343697
19.211273      29.555458      51.780927
16.843756      30.324711      50.343697
15.380550      28.310780      51.780927
25.968410      34.827997      48.906467
23.600892      35.597250      47.469237
22.137686      33.583319      48.906467
19.770168      34.352572      47.469237
18.306962      32.338642      48.906467
21.233375      36.366503      46.032007
24.291724      20.436654      56.092617
22.828518      18.422723      57.529847
20.461001      19.191976      56.092617
27.218137      24.464515      53.218157
25.754931      22.450584      54.655387
23.387413      23.219837      53.218157
21.924207      21.205907      54.655387
19.556690      21.975160      53.218157
18.093483      19.961229      54.655387
15.725966      20.730482      53.218157
30.144550      28.492376      50.343697
28.681343      26.478446      51.780927
26.313826      27.247699      50.343697
24.850620      25.233768      51.780927
22.483102      26.003021      50.343697
21.019896      23.989091      51.780927
18.652378      24.758344      50.343697
17.189172      22.744413      51.780927
33.070962      32.520238      47.469237
31.607756      30.506307      48.906467
29.240238      31.275560      47.469237
27.777032      29.261629      48.906467
25.409515      30.030882      47.469237
23.946308      28.016952      48.906467
21.578791      28.786205      47.469237
20.115585      26.772274      48.906467
30.703445      33.289491      46.032007
28.335927      34.058744      44.594778
26.872721      32.044813      46.032007
24.505203      32.814066      44.594778
23.041997      30.800136      46.032007
25.968410      34.827997      43.157548
21.365312      16.408792      53.218157
19.902106      14.394862      54.655387
17.534588      15.164115      53.218157
24.291724      20.436654      50.343697
22.828518      18.422723      51.780927
20.461001      19.191976      50.343697
18.997794      17.178045      51.780927
27.218137      24.464515      47.469237
25.754931      22.450584      48.906467
23.387413      23.219837      47.469237
21.924207      21.205907      48.906467
30.144550      28.492376      44.594778
28.681343      26.478446      46.032007
26.313826      27.247699      44.594778
24.850620      25.233768      46.032007
33.070962      32.520238      41.720318
31.607756      30.506307      43.157548
29.240238      31.275560      41.720318
